Travel Branding;Name/Line;Location;Regio;Route;Vervoersregio;Concessie;Transport company;Formula Promise;Materieel;Note;Prijs km;Type;Category;Distance;Avg. Speed;;Average Stop distance;;Stations;Duration;Frequency (max);;Peak Pax day;Use of Buslane?;Dinstance on Buslane;Max speed;Promoted Speed;Operating hours;Connected to Hubs?;Kind of Hub;Source;;;;PvE
Bravodirect;301;;West- and East-Brabant;Tilburg via Waalwijk - ’s-Hertogenbosch;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;38793;33,7;;1616,4;;24;69;4;;;;;;41;;Y;Station - Busstation - Busstation - Station;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;320;;Zuidoost-Brabant;Helmond Station – Asten – Eindhoven Station;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;44099;55,1;;1102,5;;40;48;2;;;;;;33;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;312;;West- and East-Brabant;Breda - Etten-Leur – Roosendaal;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;Same route as 3,10 311, 312, 318;;To-city HOV;3;30570;30,6;;1054,1;;29;60;2;;;Vluchtstrook;;;33;;;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;325;;West- and East-Brabant;Breda – Oosterhout;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;24890;28,7;;995,6;;25;52;4;;;;;;33;;;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;316;;West- and East-Brabant;Breda - Etten-Leur;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;Same route as 3,10 311, 312, 319;;To-city HOV;3;19836;32,2;;944,6;;21;37;2;;;Vluchtstrook;;;33;;;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;319;;Zuidoost-Brabant;Eindhoven Station – Reusel;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;27571;35,2;;919;;30;47;2;;;;;;33;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;327;;West- and East-Brabant;Breda - Oosterhout – Tilburg;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;Start in Oosterhout - Tilburg;;To-city HOV;3;38425;23,5;;914,9;;42;98;4;;;;;;33;;;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;326;;West- and East-Brabant;Breda - Oosterhout – Geertruidenberg;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;29105;30,1;;909,5;;32;58;2;;;;;;33;;;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;311;;West- and East-Brabant;Breda - Etten-Leur - Oud Gastel;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;Same route as 3,10 311, 312, 317;;To-city HOV;3;28532;32,3;;839,2;;34;53;5;;;Vluchtstrook;;;33;;;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Ontwerp Programma van Eisen Zuidoost Brabant-1.pdf
Bravodirect;317;;Zuidoost-Brabant;Eindhoven Station - Valkenswaard – Dommelen;Provincie Noord-Brabant;;Hermes Connexxion Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;15988;38,4;;666,2;;24;25;3;;;HOV2 Eindhoven;;;33;;Y;Station;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Bravodirect;318;;Zuidoost-Brabant;Eindhoven Station – Valkenswaard – Luyksgestel;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;28345;30,9;;629,9;;45;55;2;;;HOV2 Eindhoven;;;33;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Bravodirect;402;;Zuidoost-Brabant;Eindhoven Station – Veldhoven Zonderwijk;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;City HOV;2;11486;21,5;;604,5;;19;32;2;;;HOV1 Eindhoven;;;25;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\ontwerp Programma van Eisen Concessie West-Brabant 2025-2035.pdf
Bravodirect;403;;Zuidoost-Brabant;Eindhoven Station – Oerle Zuid;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;City HOV;2;10920;23,4;;574,8;;19;28;2;;;HOV1 Eindhoven;;;25;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Bijlage_2_Definitief_PvE_Concessie_IJssel-Vecht_2023-2035.pdf
Bravodirect;408;;Zuidoost-Brabant;Eindhoven Station – High Tech Campus via P+R Genneper Parken;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;Morning of 407;;City HOV;2;8913;20,6;;524,3;;17;26;2;;;HOV2 Eindhoven;;;25;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Bijlage_2_Definitief_PvE_Concessie_IJssel-Vecht_2023-2035.pdf
Bravodirect;401;;Zuidoost-Brabant;Eindhoven Station – Eindoven Airport;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;City HOV;2;8811;21,1;;518,3;;17;25;4;;;HOV1 Eindhoven;;;25;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Bijlage_2_Definitief_PvE_Concessie_IJssel-Vecht_2023-2035.pdf
Bravodirect;405;;Zuidoost-Brabant;Achtste Barrier - Eindhoven Station;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;City HOV;2;8875;23,2;;467,1;;19;23;3;;;HOV2 Eindhoven;;;25;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;C:\Users\eichlas\Downloads\Bijlage_2_Definitief_PvE_Concessie_IJssel-Vecht_2023-2035.pdf
Bravodirect;407;;Zuidoost-Brabant;Eindhoven Station – High Tech Campus;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;Evening pf 408;;City HOV;2;6089;12,6;;434,9;;14;29;2;;;HOV2 Eindhoven;;;25;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;
Bravodirect;324;;Zuidoost-Brabant;Geldrop Coevering - Eindhoven Station;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;12586;9,8;;331,2;;38;77;2;;;;;;33;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;
Bravodirect;406;;Zuidoost-Brabant;Son en Breugel – Ekkersrijt - Eindhoven Station;Provincie Noord-Brabant;;Hermes Connexxion;Fast, frequent, direct, hubs, extra, comfort;;;;City HOV;2;8539;34,2;;328,4;;26;15;3;;;HOV2 Eindhoven;;;25;;Y;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;
Bravodirect;328;;West- and East-Brabant;Oosterhout - Tilburg;Provincie Noord-Brabant;;Arriva;Fast, frequent, direct, hubs, extra, comfort;;;;To-city HOV;3;3725;3,9;;133;;28;57;2;;;;;;33;;;;Bravodirect | Bravo;Trendrapport OV2020.pdf;;;
Brengdirect;300;;Arnhem-Nijmegen;Arnhem Centraal Station - Nijmegen Heyendaal;;Arnhem Nijmegen;Hermes Connexxion;;;RijnWaalsprinter;;To-city HOV;3;28212;25,3;;940,4;;30;67;5;;;;;;;;;;Breng direct - OV in Nederland Wiki;;;;
Brengdirect;331;;Arnhem-Nijmegen;Velp Zuid - Nijmegen Weezenhof / Aldenhof;;Arnhem Nijmegen;Hermes Connexxion;;;;;To-city HOV;3;39811;24,1;;829,4;;48;99;4;;;;;;;;;;Breng direct - OV in Nederland Wiki;;;;C:\Users\eichlas\Downloads\1. Programma van Eisen Openbaar Vervoer Concessie Rijn-Waal Input Gemeente Nijmegen.pdf
Brengdirect;352;;Arnhem-Nijmegen;Arnhem Centraal Station - Wageningen;;Arnhem Nijmegen;Hermes Connexxion;;;;;To-city HOV;3;17138;31,2;;714,1;;24;33;6;;;;;;;;;;Breng direct - OV in Nederland Wiki;;;;C:\Users\eichlas\Downloads\1. Programma van Eisen Openbaar Vervoer Concessie Rijn-Waal Input Gemeente Nijmegen.pdf
ComfortRRReis;302;;IJssel-Vecht;Arnhem CS - Apeldoorn;Provincie Gelderland;;;Extra comfort, frequent;Electric city bus;;;To-city HOV;3;;;;;;50;130;2;;;;;;;;;;RRReis;;;;C:\Users\eichlas\Downloads\1. Programma van Eisen Openbaar Vervoer Concessie Rijn-Waal Input Gemeente Nijmegen.pdf
ComfortRRReis;301;;IJssel-Vecht;Nunspeet-Zwolle-Dedemsvaart;Provincie Gelderland;;;Extra comfort, frequent;Electric city bus;;;To-city HOV;3;;;;;;81;130;4;;;;;;;;;;RRReis;;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
ComfortRRReis;303;;IJssel-Vecht;Nunspeet-Zwolle-Dedemsvaart;Provincie Gelderland;;;Extra comfort, frequent;;;;To-city HOV;3;;;;;;14;28;4;;;;;;;;;;RRReis;;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
ComfortRRReis;304;;IJssel-Vecht;Apeldoorn-Zwolle;Provincie Gelderland;;;Extra comfort, frequent;To-city HOV;;;To-city HOV;3;;;;;;40;82;6;;;;;;;;;;RRReis;;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
